scan_id,frame,density_score
000001,57,0.73
000002,46,0.39
000003,56,0.79
000004,55,0.78
000005,32,0.89
000006,90,0.7
000007,40,0.9
000008,47,0.71
000009,56,0.88
000010,10,0.59
000011,61,0.47
000012,98,0.5
000013,61,0.4
000014,60,0.81
000015,64,0.67
000016,54,0.73
000017,75,0.49
000018,41,0.85
000019,34,0.21
000020,3,0.42
000021,97,0.8
000022,20,0.68
000023,86,0.26
000024,72,0.72
000025,77,0.69
000026,1,0.78
000027,48,0.88
000028,0,0.6
000029,4,0.46
000030,96,0.46
000031,38,0.73
000032,1,0.33
000033,53,0.76
000034,41,0.38
000035,78,0.23
000036,27,0.24
000037,59,0.64
000038,36,0.4
000039,79,0.89
000040,85,0.42
000041,71,0.22
000042,8,0.31
000043,60,0.47
000044,82,0.32
000045,9,0.29
000046,65,0.55
000047,82,0.23
000048,86,0.54
000049,70,0.27
000050,96,0.42
000051,12,0.54
000052,28,0.62
000053,89,0.44
000054,76,0.2
000055,14,0.39
000056,67,0.45
000057,77,0.59
000058,66,0.57
000059,37,0.27
000060,78,0.75
000061,1,0.63
000062,98,0.65
000063,95,0.62
000064,55,0.67
000065,30,0.47
000066,69,0.43
000067,95,0.66
000068,93,0.61
000069,56,0.69
000070,46,0.31
000071,93,0.29
000072,24,0.82
000073,100,0.61
000074,27,0.78
000075,61,0.49
000076,60,0.85
000077,45,0.5
000078,47,0.89
000079,94,0.57
000080,9,0.6
000081,31,0.47
000082,81,0.68
000083,94,0.25
000084,49,0.75
000085,73,0.33
000086,89,0.64
000087,59,0.59
000088,21,0.82
000089,12,0.35
000090,32,0.7
000091,24,0.22
000092,90,0.88
000093,57,0.31
000094,96,0.89
000095,93,0.84
000096,33,0.21
000097,16,0.38
000098,96,0.4
000099,0,0.68
000100,75,0.58
000101,79,0.67
000102,63,0.55
000103,45,0.72
000104,34,0.27
000105,92,0.61
000106,19,0.74
000107,94,0.41
000108,96,0.29
000109,15,0.77
000110,96,0.33
000111,98,0.65
000112,22,0.45
000113,39,0.76
000114,79,0.7
000115,4,0.2
000116,32,0.53
000117,82,0.82
000118,36,0.26
000119,79,0.59
000120,26,0.81
000121,3,0.79
000122,8,0.66
000123,29,0.68
000124,74,0.58
000125,32,0.72
000126,32,0.5
000127,3,0.72
000128,26,0.64
000129,55,0.74
000130,10,0.64
000131,90,0.44
000132,96,0.75
000133,52,0.57
000134,22,0.26
000135,83,0.32
000136,34,0.45
000137,23,0.54
000138,72,0.67
000139,69,0.51
000140,39,0.27
000141,100,0.21
000142,57,0.32
000143,17,0.28
000144,3,0.76
000145,79,0.31
000146,84,0.31
000147,46,0.69
000148,43,0.71
000149,92,0.26
000150,49,0.76
000151,91,0.84
000152,96,0.8
000153,0,0.8
000154,86,0.45
000155,9,0.46
000156,37,0.59
000157,19,0.87
000158,57,0.27
000159,3,0.55
000160,5,0.32
000161,17,0.37
000162,35,0.27
000163,90,0.77
000164,10,0.56
000165,96,0.31
000166,45,0.86
000167,59,0.25
000168,90,0.76
000169,39,0.47
000170,18,0.53
000171,96,0.43
000172,96,0.2
000173,6,0.68
000174,38,0.58
000175,12,0.83
000176,15,0.76
000177,8,0.41
000178,54,0.85
000179,42,0.35
000180,22,0.34
000181,39,0.3
000182,96,0.73
000183,51,0.57
000184,19,0.7
000185,93,0.35
000186,63,0.77
000187,81,0.52
000188,99,0.6
000189,15,0.88
000190,12,0.84
000191,60,0.74
000192,6,0.24
000193,70,0.87
000194,13,0.59
000195,12,0.85
000196,22,0.32
000197,82,0.4
000198,82,0.84
000199,81,0.59
000200,55,0.34
000201,10,0.47
000202,34,0.31
000203,14,0.72
000204,17,0.74
000205,81,0.24
000206,40,0.58
000207,98,0.77
000208,1,0.9
000209,29,0.68
000210,38,0.26
000211,56,0.54
000212,4,0.66
000213,64,0.27
000214,45,0.52
000215,21,0.84
000216,6,0.45
000217,57,0.84
000218,61,0.49
000219,71,0.4
000220,5,0.82
000221,94,0.24
000222,48,0.27
000223,9,0.82
000224,99,0.28
000225,98,0.3
000226,70,0.26
000227,34,0.47
000228,48,0.2
000229,88,0.55
000230,88,0.36
000231,19,0.62
000232,79,0.56
000233,22,0.47
000234,19,0.45
000235,72,0.62
000236,39,0.2
000237,9,0.47
000238,2,0.44
000239,37,0.52
000240,81,0.41
000241,42,0.66
000242,91,0.8
000243,82,0.7
000244,5,0.81
000245,12,0.74
000246,68,0.68
000247,34,0.45
000248,86,0.36
000249,60,0.79
000250,61,0.27
000251,27,0.34
000252,14,0.34
000253,22,0.81
000254,65,0.68
000255,47,0.8
000256,63,0.24
000257,45,0.42
000258,27,0.23
000259,85,0.27
000260,79,0.64
000261,8,0.86
000262,4,0.81
000263,17,0.31
000264,68,0.28
000265,42,0.31
000266,15,0.49
000267,100,0.34
000268,13,0.3
000269,77,0.51
000270,8,0.36
000271,50,0.4
000272,16,0.37
000273,69,0.51
000274,7,0.66
000275,76,0.88
000276,42,0.78
000277,29,0.61
000278,20,0.72
000279,6,0.86
000280,57,0.48
000281,17,0.33
000282,47,0.42
000283,38,0.61
000284,40,0.24
000285,97,0.41
000286,43,0.78
000287,51,0.44
000288,14,0.35
000289,86,0.52
000290,87,0.5
000291,52,0.71
000292,24,0.47
000293,82,0.61
000294,96,0.57
000295,53,0.49
000296,78,0.21
000297,7,0.63
000298,25,0.25
000299,60,0.47
000300,52,0.46
000301,4,0.56
000302,70,0.36
000303,38,0.21
000304,21,0.45
000305,30,0.22
000306,54,0.48
000307,31,0.9
000308,37,0.39
000309,88,0.72
000310,93,0.88
000311,52,0.56
000312,43,0.78
000313,26,0.56
000314,59,0.22
000315,96,0.76
000316,4,0.76
000317,85,0.57
000318,70,0.54
000319,30,0.7
000320,51,0.41
000321,59,0.33
000322,65,0.26
000323,85,0.4
000324,32,0.69
000325,12,0.8
000326,50,0.7
000327,3,0.28
000328,38,0.77
000329,50,0.86
000330,85,0.9
000331,78,0.5
000332,20,0.36
000333,49,0.21
000334,11,0.43
000335,8,0.53
000336,5,0.54
000337,46,0.5
000338,95,0.52
000339,55,0.51
000340,60,0.41
000341,79,0.4
000342,14,0.78
000343,83,0.41
000344,76,0.47
000345,35,0.86
000346,67,0.89
000347,49,0.9
000348,3,0.43
000349,15,0.45
000350,55,0.23
000351,37,0.61
000352,50,0.22
000353,37,0.53
000354,78,0.58
000355,39,0.64
000356,8,0.47
000357,24,0.65
000358,83,0.87
000359,78,0.67
000360,47,0.48
000361,9,0.54
000362,10,0.54
000363,4,0.46
000364,34,0.47
000365,64,0.28
000366,69,0.5
000367,28,0.23
000368,6,0.82
000369,81,0.39
000370,91,0.79
000371,34,0.76
000372,1,0.51
000373,42,0.41
000374,1,0.51
000375,24,0.38
000376,23,0.62
000377,64,0.42
000378,0,0.22
000379,16,0.38
000380,62,0.21
000381,23,0.86
000382,89,0.33
000383,5,0.21
000384,42,0.42
000385,75,0.81
000386,42,0.36
000387,53,0.22
000388,19,0.71
000389,51,0.66
000390,87,0.45
000391,80,0.4
000392,37,0.46
000393,67,0.34
000394,7,0.4
000395,69,0.5
000396,58,0.62
000397,19,0.21
000398,49,0.6
000399,54,0.45
000400,3,0.33
000401,46,0.41
000402,30,0.28
000403,28,0.23
000404,34,0.26
000405,5,0.37
000406,13,0.82
000407,17,0.8
000408,49,0.57
000409,55,0.85
000410,19,0.85
000411,44,0.52
000412,72,0.27
000413,8,0.28
000414,35,0.72
000415,44,0.73
000416,69,0.84
000417,89,0.41
000418,21,0.57
000419,50,0.45
000420,50,0.88
000421,90,0.3
000422,65,0.5
000423,64,0.53
000424,59,0.32
000425,29,0.3
000426,28,0.46
000427,98,0.33
000428,64,0.39
000429,7,0.73
000430,98,0.38
000431,31,0.87
000432,73,0.55
000433,41,0.26
000434,62,0.44
000435,12,0.32
000436,14,0.66
000437,35,0.48
000438,77,0.48
000439,67,0.21
000440,95,0.32
000441,98,0.34
000442,84,0.47
000443,75,0.33
000444,59,0.89
000445,99,0.24
000446,11,0.71
000447,91,0.44
000448,13,0.56
000449,15,0.73
000450,7,0.54
000451,92,0.62
000452,75,0.52
000453,66,0.41
000454,13,0.23
000455,27,0.81
000456,16,0.6
000457,18,0.34
000458,42,0.9
000459,25,0.29
000460,94,0.56
000461,91,0.7
000462,99,0.82
000463,83,0.22
000464,6,0.56
000465,72,0.85
000466,18,0.27
000467,35,0.7
000468,16,0.46
000469,35,0.58
000470,96,0.39
000471,40,0.37
000472,5,0.63
000473,75,0.84
000474,5,0.73
000475,73,0.78
000476,12,0.63
000477,9,0.26
000478,34,0.84
000479,94,0.85
000480,51,0.89
000481,69,0.74
000482,95,0.74
000483,45,0.23
000484,25,0.39
000485,86,0.67
000486,52,0.27
000487,72,0.24
000488,83,0.36
000489,32,0.65
000490,55,0.46
000491,87,0.74
000492,43,0.67
000493,64,0.55
000494,28,0.23
000495,3,0.48
000496,67,0.71
000497,34,0.41
000498,99,0.5
000499,6,0.42
000500,27,0.3
000501,66,0.6
000502,5,0.83
000503,22,0.62
000504,82,0.51
000505,3,0.74
000506,85,0.76
000507,55,0.36
000508,76,0.71
000509,31,0.36
000510,27,0.76
000511,92,0.7
000512,21,0.7
000513,80,0.28
000514,30,0.8
000515,21,0.37
000516,94,0.26
000517,55,0.61
000518,9,0.52
000519,5,0.6
000520,98,0.56
000521,60,0.76
000522,58,0.3
000523,29,0.53
000524,26,0.3
000525,72,0.32
000526,54,0.53
000527,91,0.8
000528,20,0.24
000529,15,0.9
000530,85,0.37
000531,45,0.58
000532,40,0.28
000533,46,0.68
000534,56,0.56
000535,96,0.47
000536,32,0.61
000537,1,0.35
000538,81,0.68
000539,70,0.73
000540,65,0.61
000541,6,0.48
000542,11,0.54
000543,87,0.76
000544,58,0.22
000545,35,0.45
000546,91,0.54
000547,10,0.77
000548,66,0.44
000549,43,0.59
000550,84,0.69
000551,14,0.22
000552,7,0.52
000553,85,0.68
000554,73,0.72
000555,16,0.3
000556,19,0.76
000557,96,0.77
000558,99,0.28
000559,52,0.21
000560,58,0.38
000561,91,0.32
000562,71,0.43
000563,54,0.38
000564,79,0.77
000565,91,0.65
000566,48,0.88
000567,82,0.55
000568,38,0.46
000569,16,0.62
000570,99,0.52
000571,80,0.83
000572,52,0.87
000573,92,0.61
000574,3,0.83
000575,40,0.72
000576,79,0.54
000577,2,0.69
000578,20,0.5
000579,84,0.34
000580,50,0.49
000581,58,0.67
000582,59,0.61
000583,58,0.42
000584,33,0.62
000585,48,0.6
000586,35,0.37
000587,29,0.84
000588,12,0.4
000589,86,0.31
000590,1,0.57
000591,32,0.9
000592,45,0.24
000593,45,0.31
000594,9,0.47
000595,1,0.22
000596,36,0.49
000597,20,0.7
000598,29,0.41
000599,4,0.66
000600,17,0.78
000601,96,0.32
000602,46,0.22
000603,5,0.3
000604,26,0.82
000605,9,0.6
000606,79,0.64
000607,59,0.5
000608,14,0.68
000609,57,0.29
000610,97,0.37
000611,75,0.72
000612,15,0.24
000613,3,0.84
000614,94,0.9
000615,44,0.78
000616,11,0.26
000617,98,0.57
000618,3,0.29
000619,92,0.83
000620,73,0.35
000621,8,0.37
000622,97,0.63
000623,93,0.57
000624,66,0.33
000625,49,0.77
000626,81,0.34
000627,93,0.78
000628,25,0.64
000629,7,0.38
000630,89,0.62
000631,42,0.6
000632,93,0.26
000633,83,0.52
000634,69,0.74
000635,19,0.49
000636,39,0.45
000637,15,0.49
000638,37,0.71
000639,43,0.65
000640,9,0.86
000641,33,0.37
000642,9,0.82
000643,3,0.31
000644,92,0.89
000645,7,0.28
000646,18,0.26
000647,75,0.34
000648,87,0.38
000649,55,0.83
000650,52,0.85
000651,34,0.76
000652,98,0.61
000653,98,0.37
000654,42,0.25
000655,22,0.4
000656,96,0.84
000657,74,0.47
000658,70,0.71
000659,20,0.77
000660,66,0.43
000661,41,0.88
000662,35,0.55
000663,93,0.25
000664,15,0.25
000665,35,0.32
000666,41,0.88
000667,43,0.57
000668,89,0.34
000669,31,0.51
000670,49,0.44
000671,39,0.9
000672,9,0.48
000673,96,0.74
000674,62,0.49
000675,77,0.33
000676,47,0.89
000677,6,0.72
000678,54,0.76
000679,60,0.54
000680,84,0.3
000681,11,0.38
000682,16,0.83
000683,1,0.71
000684,80,0.4
000685,41,0.59
000686,20,0.47
000687,81,0.59
000688,62,0.54
000689,73,0.69
000690,78,0.42
000691,65,0.84
000692,67,0.75
000693,54,0.65
000694,39,0.82
000695,61,0.73
000696,77,0.62
000697,38,0.78
000698,15,0.56
000699,38,0.83
000700,38,0.81
000701,100,0.86
000702,11,0.49
000703,25,0.86
000704,61,0.4
000705,71,0.51
000706,13,0.53
000707,29,0.6
000708,11,0.67
000709,91,0.81
000710,52,0.53
000711,54,0.2
000712,59,0.76
000713,97,0.4
000714,48,0.51
000715,64,0.72
000716,94,0.66
000717,39,0.29
000718,3,0.51
000719,38,0.35
000720,48,0.3
000721,97,0.65
000722,4,0.31
000723,83,0.21
000724,86,0.73
000725,46,0.75
000726,85,0.29
000727,32,0.69
000728,66,0.57
000729,81,0.28
000730,99,0.34
000731,67,0.75
000732,39,0.24
000733,43,0.27
000734,55,0.61
000735,28,0.28
000736,44,0.38
000737,47,0.51
000738,30,0.54
000739,6,0.24
000740,49,0.52
000741,24,0.5
000742,30,0.87
000743,95,0.26
000744,41,0.62
000745,66,0.39
000746,49,0.51
000747,81,0.86
000748,26,0.26
000749,80,0.7
000750,20,0.74
000751,12,0.77
000752,52,0.2
000753,74,0.88
000754,32,0.88
000755,85,0.9
000756,60,0.36
000757,2,0.87
000758,89,0.66
000759,56,0.64
000760,18,0.26
000761,53,0.35
000762,38,0.7
000763,59,0.9
000764,87,0.21
000765,16,0.72
000766,51,0.3
000767,6,0.77
000768,96,0.32
000769,46,0.87
000770,61,0.72
000771,52,0.28
000772,39,0.87
000773,28,0.43
000774,95,0.27
000775,15,0.43
000776,8,0.77
000777,38,0.74
000778,70,0.84
000779,60,0.63
000780,68,0.41
000781,34,0.41
000782,46,0.36
000783,7,0.83
000784,83,0.87
000785,73,0.72
000786,21,0.86
000787,3,0.29
000788,57,0.5
000789,38,0.61
000790,38,0.58
000791,88,0.56
000792,100,0.57
000793,100,0.86
000794,91,0.47
000795,51,0.8
000796,22,0.63
000797,32,0.42
000798,91,0.81
000799,27,0.62
000800,87,0.65
000801,56,0.37
000802,93,0.33
000803,60,0.58
000804,32,0.52
000805,62,0.54
000806,3,0.22
000807,32,0.52
000808,89,0.36
000809,32,0.24
000810,36,0.86
000811,3,0.32
000812,51,0.9
000813,2,0.61
000814,99,0.6
000815,29,0.22
000816,45,0.57
000817,91,0.44
000818,32,0.56
000819,31,0.52
000820,43,0.28
000821,21,0.42
000822,11,0.3
000823,50,0.51
000824,41,0.76
000825,9,0.65
000826,1,0.77
000827,92,0.82
000828,78,0.76
000829,9,0.59
000830,35,0.44
000831,56,0.62
000832,75,0.47
000833,31,0.45
000834,58,0.83
000835,8,0.41
000836,56,0.75
000837,4,0.61
000838,47,0.31
000839,100,0.59
000840,4,0.49
000841,97,0.79
000842,59,0.38
000843,53,0.27
000844,46,0.66
000845,49,0.82
000846,51,0.37
000847,50,0.51
000848,20,0.59
000849,93,0.4
000850,31,0.52
000851,0,0.45
000852,39,0.41
000853,21,0.53
000854,54,0.43
000855,61,0.21
000856,57,0.47
000857,96,0.84
000858,60,0.39
000859,14,0.61
000860,34,0.38
000861,82,0.88
000862,97,0.89
000863,63,0.38
000864,78,0.56
000865,22,0.67
000866,63,0.36
000867,26,0.66
000868,59,0.47
000869,86,0.49
000870,8,0.22
000871,37,0.66
000872,7,0.54
000873,58,0.48
000874,90,0.25
000875,39,0.5
000876,9,0.35
000877,53,0.61
000878,17,0.33
000879,55,0.8
000880,29,0.38
000881,37,0.68
000882,12,0.5
000883,43,0.81
000884,94,0.58
000885,89,0.55
000886,9,0.32
000887,90,0.6
000888,77,0.45
000889,92,0.8
000890,31,0.84
000891,91,0.34
000892,86,0.32
000893,59,0.37
000894,99,0.59
000895,67,0.53
000896,42,0.83
000897,91,0.62
000898,89,0.76
000899,36,0.56
000900,80,0.33
000901,81,0.35
000902,20,0.58
000903,23,0.82
000904,42,0.34
000905,5,0.9
000906,34,0.36
000907,76,0.28
000908,46,0.53
000909,26,0.31
000910,33,0.73
000911,9,0.63
000912,31,0.33
000913,81,0.42
000914,81,0.57
000915,23,0.6
000916,72,0.36
000917,99,0.8
000918,43,0.53
000919,100,0.84
000920,30,0.41
000921,62,0.7
000922,56,0.75
000923,1,0.66
000924,36,0.56
000925,64,0.39
000926,57,0.81
000927,40,0.84
000928,86,0.65
000929,39,0.35
000930,27,0.86
000931,30,0.77
000932,26,0.31
000933,66,0.73
000934,45,0.68
000935,78,0.77
000936,10,0.71
000937,47,0.76
000938,31,0.85
000939,71,0.77
000940,66,0.61
000941,80,0.82
000942,23,0.47
000943,66,0.5
000944,97,0.46
000945,23,0.69
000946,3,0.67
000947,55,0.27
000948,28,0.36
000949,43,0.23
000950,50,0.49
000951,49,0.79
000952,56,0.67
000953,21,0.72
000954,40,0.32
000955,46,0.75
000956,69,0.67
000957,97,0.74
000958,39,0.77
000959,60,0.66
000960,91,0.81
000961,91,0.23
000962,98,0.27
000963,11,0.35
000964,32,0.25
000965,54,0.56
000966,36,0.69
000967,31,0.34
000968,15,0.3
000969,32,0.26
000970,76,0.72
000971,44,0.73
000972,95,0.26
000973,63,0.57
000974,31,0.42
000975,73,0.87
000976,66,0.59
000977,29,0.62
000978,31,0.52
000979,8,0.26
000980,40,0.56
000981,49,0.59
000982,88,0.22
000983,76,0.26
000984,34,0.55
000985,35,0.45
000986,37,0.56
000987,37,0.21
000988,49,0.52
000989,8,0.52
000990,18,0.9
000991,77,0.27
000992,19,0.26
000993,50,0.78
000994,23,0.7
000995,12,0.45
000996,71,0.83
000997,27,0.38
000998,28,0.33
000999,81,0.74
001000,45,0.74